year,samplingLocation,sampColor,Lattitude,Longitude,dateRange,dateSample,fieldNumber,cropPhenology,plotID,Disease.Incidence,Disease.Severity
2018,Bhola,greenSouth,22.601732,90.665306,firstSampling,Thu Feb 22 00:00:00 UTC 2018,21,stemElongation,BholagreenSouthfirstSampling21stemElongation,0,0
2018,Bhola,greenSouth,22.601943,90.667244,firstSampling,Thu Feb 22 00:00:00 UTC 2018,22,stemElongation,BholagreenSouthfirstSampling22stemElongation,0,0
2018,Bhola,greenNorth,22.758385,90.609101,firstSampling,Tue Feb 20 00:00:00 UTC 2018,1,tillering,BholagreenNorthfirstSampling1tillering,0,0
2018,Bhola,greenNorth,22.757122,90.607547,firstSampling,Tue Feb 20 00:00:00 UTC 2018,2,tillering,BholagreenNorthfirstSampling2tillering,0,0
2018,Bhola,greenNorth,22.757351,90.605196,firstSampling,Tue Feb 20 00:00:00 UTC 2018,3,tillering,BholagreenNorthfirstSampling3tillering,0,0
2018,Bhola,greenNorth,22.778857,90.593963,firstSampling,Tue Feb 20 00:00:00 UTC 2018,4,tillering,BholagreenNorthfirstSampling4tillering,0,0
2018,Bhola,greenNorth,22.773425,90.638998,firstSampling,Tue Feb 20 00:00:00 UTC 2018,5,tillering,BholagreenNorthfirstSampling5tillering,0,0
2018,Bhola,greenNorth,22.7597275,90.6062493,firstSampling,Tue Feb 20 00:00:00 UTC 2018,6,tillering,BholagreenNorthfirstSampling6tillering,0,0
2018,Bhola,greenNorth,22.760484,90.608363,firstSampling,Tue Feb 20 00:00:00 UTC 2018,7,tillering,BholagreenNorthfirstSampling7tillering,0,0
2018,Bhola,greenNorth,22.761178,90.606284,firstSampling,Tue Feb 20 00:00:00 UTC 2018,8,tillering,BholagreenNorthfirstSampling8tillering,0,0
2018,Bhola,greenNorth,22.771346,90.60113,firstSampling,Tue Feb 20 00:00:00 UTC 2018,9,tillering,BholagreenNorthfirstSampling9tillering,0,0
2018,Bhola,greenNorth,22.769871,90.604652,firstSampling,Tue Feb 20 00:00:00 UTC 2018,10,tillering,BholagreenNorthfirstSampling10tillering,0,0
2018,Bhola,greenNorth,22.769327,90.602248,firstSampling,Tue Feb 20 00:00:00 UTC 2018,11,tillering,BholagreenNorthfirstSampling11tillering,0,0
2018,Bhola,greenNorth,22.771301,90.602248,firstSampling,Tue Feb 20 00:00:00 UTC 2018,12,tillering,BholagreenNorthfirstSampling12tillering,0,0
2018,Bhola,greenNorth,22.773273,90.602449,firstSampling,Tue Feb 20 00:00:00 UTC 2018,13,tillering,BholagreenNorthfirstSampling13tillering,0,0
2018,Bhola,greenNorth,22.759804,90.611098,firstSampling,Tue Feb 20 00:00:00 UTC 2018,14,tillering,BholagreenNorthfirstSampling14tillering,0,0
2018,Bhola,greenNorth,22.758746,90.6137337,firstSampling,Tue Feb 20 00:00:00 UTC 2018,15,tillering,BholagreenNorthfirstSampling15tillering,0,0
2018,Bhola,greenNorth,22.77304,90.60069,firstSampling,Tue Feb 20 00:00:00 UTC 2018,16,tillering,BholagreenNorthfirstSampling16tillering,0,0
2018,Bhola,greenNorth,22.772428,90.598679,firstSampling,Tue Feb 20 00:00:00 UTC 2018,17,tillering,BholagreenNorthfirstSampling17tillering,0,0
2018,Bhola,greenNorth,22.771083,90.5973,firstSampling,Tue Feb 20 00:00:00 UTC 2018,18,tillering,BholagreenNorthfirstSampling18tillering,0,0
